#Iteration	 RMSE	               Rel. Err.
584	     3.602715e-02	     1.721826e-02
585	     3.600285e-02	     1.720664e-02
586	     3.599586e-02	     1.720330e-02
587	     3.596042e-02	     1.718637e-02
588	     3.593649e-02	     1.717493e-02
589	     3.592960e-02	     1.717164e-02
590	     3.589414e-02	     1.715469e-02
591	     3.587051e-02	     1.714339e-02
592	     3.586395e-02	     1.714026e-02
593	     3.582843e-02	     1.712328e-02
594	     3.580526e-02	     1.711221e-02
595	     3.579891e-02	     1.710917e-02
596	     3.576316e-02	     1.709209e-02
597	     3.574040e-02	     1.708121e-02
598	     3.573447e-02	     1.707838e-02
599	     3.569845e-02	     1.706116e-02
600	     3.567626e-02	     1.705056e-02
601	     3.567064e-02	     1.704787e-02
602	     3.563418e-02	     1.703045e-02
603	     3.561251e-02	     1.702009e-02
604	     3.560742e-02	     1.701766e-02
605	     3.557047e-02	     1.700000e-02
606	     3.554948e-02	     1.698997e-02
607	     3.554481e-02	     1.698773e-02
608	     3.550720e-02	     1.696976e-02
609	     3.548685e-02	     1.696003e-02
610	     3.546203e-02	     1.694817e-02
611	     3.543811e-02	     1.693674e-02
612	     3.538508e-02	     1.691139e-02
613	     3.537428e-02	     1.690623e-02
614	     3.534076e-02	     1.689021e-02
615	     3.531963e-02	     1.688012e-02
616	     3.531439e-02	     1.687761e-02
617	     3.527960e-02	     1.686098e-02
618	     3.525894e-02	     1.685111e-02
619	     3.525404e-02	     1.684877e-02
620	     3.521852e-02	     1.683179e-02
621	     3.519870e-02	     1.682232e-02
622	     3.519468e-02	     1.682040e-02
623	     3.515803e-02	     1.680288e-02
624	     3.513919e-02	     1.679388e-02
625	     3.511485e-02	     1.678224e-02
626	     3.509416e-02	     1.677236e-02
627	     3.504125e-02	     1.674707e-02
628	     3.503206e-02	     1.674268e-02
629	     3.499879e-02	     1.672678e-02
630	     3.497920e-02	     1.671741e-02
631	     3.497504e-02	     1.671543e-02
632	     3.494017e-02	     1.669876e-02
633	     3.492144e-02	     1.668981e-02
634	     3.489812e-02	     1.667866e-02
635	     3.487747e-02	     1.666879e-02
636	     3.482662e-02	     1.664449e-02
637	     3.481795e-02	     1.664035e-02
638	     3.478533e-02	     1.662476e-02
639	     3.476676e-02	     1.661588e-02
640	     3.474449e-02	     1.660524e-02
641	     3.472283e-02	     1.659489e-02
642	     3.467439e-02	     1.657174e-02
643	     3.466525e-02	     1.656737e-02
644	     3.463393e-02	     1.655240e-02
645	     3.461546e-02	     1.654357e-02
646	     3.461165e-02	     1.654176e-02
647	     3.457814e-02	     1.652574e-02
648	     3.456071e-02	     1.651741e-02
649	     3.453808e-02	     1.650659e-02
650	     3.452009e-02	     1.649800e-02
651	     3.446999e-02	     1.647405e-02
652	     3.446263e-02	     1.647054e-02
653	     3.443060e-02	     1.645522e-02
654	     3.441344e-02	     1.644702e-02
655	     3.439159e-02	     1.643658e-02
656	     3.437270e-02	     1.642756e-02
657	     3.432462e-02	     1.640458e-02
658	     3.431689e-02	     1.640088e-02
659	     3.428598e-02	     1.638611e-02
660	     3.426895e-02	     1.637797e-02
661	     3.424772e-02	     1.636782e-02
662	     3.422877e-02	     1.635877e-02
663	     3.418205e-02	     1.633644e-02
664	     3.417432e-02	     1.633274e-02
665	     3.414415e-02	     1.631832e-02
666	     3.412741e-02	     1.631032e-02
667	     3.410662e-02	     1.630039e-02
668	     3.408807e-02	     1.629152e-02
669	     3.404221e-02	     1.626960e-02
670	     3.403475e-02	     1.626604e-02
671	     3.400502e-02	     1.625183e-02
672	     3.398873e-02	     1.624405e-02
673	     3.396819e-02	     1.623423e-02
674	     3.395063e-02	     1.622584e-02
675	     3.390502e-02	     1.620404e-02
676	     3.389817e-02	     1.620077e-02
677	     3.386852e-02	     1.618659e-02
678	     3.385289e-02	     1.617912e-02
679	     3.383236e-02	     1.616931e-02
680	     3.381647e-02	     1.616172e-02
681	     3.377042e-02	     1.613971e-02
682	     3.376458e-02	     1.613692e-02
683	     3.373458e-02	     1.612258e-02
684	     3.371984e-02	     1.611553e-02
685	     3.369908e-02	     1.610561e-02
686	     3.368562e-02	     1.609918e-02
687	     3.363835e-02	     1.607659e-02
688	     3.363396e-02	     1.607449e-02
689	     3.360313e-02	     1.605976e-02
690	     3.358955e-02	     1.605327e-02
691	     3.356825e-02	     1.604309e-02
